text,expected_label
 A new baby? How exciting  Congrats in advance,positive
" Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day 'colorblind'.",positive
"Pegel..cape ya keliling kuil..but,totally awesome!was amazed by the temple,culture,ambience..truly amazing thailand",positive
" just looked at your page and realised it was a radio show, get them to play Call It What You Want so love that track",positive
" That`s the problem. The earphones I get here don`t last more than 2 months, no matter what brand or price.",negative
"YM, meebo & ebuddy really hate us      ",negative
 it was only announced in the last few days. Due to cancer I think,negative
 So true Donna  Wish you a joyfull sunday ~Siddy,positive
 Lots of things Nico. Gud news: I have a job Bad news: Its in the middle of nowhere. Got my phone 4 twitter but cnt play videos.,negative
"  cool, i saw it now in the link thanks",positive
" Thx! Old computer here, too slow for both Kubuntu and Blender really.",negative
"A bunny was eating my moms plants. Naturally, she started shooting. No more bunny.",negative
Still Doing Grench paper and still getting distracted,negative
so i got to my exam centre n they said we can`t let u becuz of your sleeveless top! U cud BELIEVE that!? i had to go home,negative
"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?",negative
 Sadly cannot listen...  *sob*,negative
Wee are going to the movies tonight to see Wolverine,positive
"friday here at last, not much fun when your skint though",negative
" Don`t fall to celebrity worship, though... just write what you think, do the best you can and rock on",positive
"I`m home, Yay! Unpacked everything, now just got to wash it all",positive
"wow my grandma passed away....I`m too sick to even think, I know she`s in a better place now",negative
" That was my entire week!! I didn`t get to design once while at my GRAPHIC DESIGN job, only at home doing freelance. Sad.",negative
Happy Star Wars day! May the 4th be with you!,positive
it`s good to see all my family  was a good day today,positive
"actually, i think i`m being mean to her....i feel sorry now",positive
 i missed the game,negative
 I don`t mind him not paying rent. I`m just over the moon at the idea of him moving out at least 12 years early,positive
" that`s what i did with my other friends dati e. i could totally do that.  Lian, Eina, Gelli, you, Zero & Francis. we`ll fit!",positive
why do i have to wake up so early goddam?! 7.30 on my last day off  bummer,negative
Always get my hopes up too soon...we were soooo close,negative
  will have to wait on the recipe at Simply Recipes.  Sorries!,negative
"I just put my TV on the Canucks game and they score  yaay come on VanCity baby (I know, I can`t believe I`m watching hockey either)",positive
The Skimchamp Taxi Service!  best in the land!,positive
My knee is killing me,negative
" Plus you guys have IceTV, which I REALLY miss from living there.",positive
"And here goes my first Twitter from #TwitterBerry Application from my #BlackBerry Bold 9000..  Cheers, long live.. #SMR",positive
" Have fun, hon! Ooh, look what a poet I am.",positive
 really enjoyed the podcast with  This was my 1st time listenening to the show. Will def listen from now on,positive
"Gone up to 8mm on my plug. Help, this is where I said I`d go maximum and I still want to stretch it more...",negative
doesn`t sound so great at all  http://is.gd/JslB #palmpre,negative
I should be in NYC right now with some of my favorite people but instead I am stuck in RI.,negative
dam just finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale,positive
 why don`t u use twitpic? none of ur pics show up on my phone,negative
 haha maybe someday I will be your publicist! that`s what i am going to school for,positive
" w00t, have a red wine now",positive
_Songs I know  Especially since the summer is such a boring TV time to begin with.,negative
 Alternate name for a 'Bacon Mary'... A 'Bloody Piggy!' ;) (I have to give my boyfriend credit for that idea!),positive
 now that you say that you do look like demi  hahaha!! Yessss august 2nd will be a blast,positive
wondering if my local Borders is going to make it. Lots of bare shelves... It makes me sad,negative
" hey, have a great gig! We`ll have to do exchange of tracks via ze emayal  I`m all lost in loops right now and still writing ****",positive
That sucks that u have 2 go through that  id b pissed 2,negative
 http://twitpic.com/2dmtn - I saw this pic and it reminded me of you in Anna and the King.. so cuuuute little fella,positive
_couper  I`ve heard that. 2 of my sons have seen it and one wants to see it again. I can`t wait to get there,positive
" hi cs, welcome to the twitterverse, if i can help with anything, just ask",positive
Super pumped to do the 'Relay for Life' tonite. I am walking in honor of my sweet Grandpa `06 and my Uncle Howard who past just yesterday,positive
JONAS rocked tonight!  going to bed after I write a lil bit... Night and bless all,positive
" ugh something is wrong, suddenly I feel extremely flushed and shaky and I broke out in a sweat. Idk what`s wrong.",negative
10 Cutest Cat moments video - http://shrt.st/4ce - enjoy,positive
Today is a blessed day,positive
 that doesnt look good at all.,negative
" Good Morning, good wakeup music",positive
Goin to the mall and gonna see the movie ghost of gfs past i hope its good and top it all im goin alone  but ilook cute and feel good ^^,positive
I`m sooo HAPPY Demi`s back on twitter!,positive
http://twitpic.com/4wsue - yeah  well thanks *blushes*,positive
Borrowing my Mom`s Lenovo laptop The trackpad and the battery life suck balls for quarters. Seriously missing my MacBook Pro,negative
 *waves back* Have a good day,positive
 you are a very naughty woman - we sooo have to meet!,positive
"Ugh.. apparantly doc authorized my refills on tuesday (and ready to be picked up), but the order status online still says waiting review.",negative
i believe only my black personality can explain how i feel... that boyfrann of mines gots me sprung,positive
We`re practicing our blackjack skills. It doesn`t look hopeful.  http://yfrog.com/0l2tsj,negative
_crumbles all the best for art attack. thanks 4d follow,positive
"Working on a bank holiday, but I don`t mind - it`s all good fun",positive
"gtg now, listen to cobra`s new song @ their myspace, ttyl  santi <3",positive
_d Wish Leigh a Happy Mother`s Day for me! It`s midnight in NY,positive
is online shopping...fantastic,positive
I`m enjoying this Sunday very much. No parents. No revision. Just like any other Sunday,positive
big hair rock day today me thinks  here I go again to start xxxxx ? http://blip.fm/~5z4p7,positive
 nope- dnt have wireless ne more  HATERS!!!! Ugh... Save me a copy so I can watch it...,negative
" is making cupcakes and says i can`t have any  kelli, you`re a bad sister.",negative
i DID argue with byron because he said im fat,negative
Just uploading photos from the cell...nothin like true candid-ness!,positive
"my entire body hurts.  shower, hot tea and tv please..",negative
because I just lost my first Field Notes notebook 6 pages before filling it up!! RIP  #fieldnotes,negative
is seventeen today  and is trekking from chorleywood to see    and  in cambridge  <3,positive
 alright alright! I will be tuning in and taking notes - remember what I said before (got a spot? raising my handz - both,positive
just spent all day putting up a trampoline but is now too tired to use it...  it is very cool though!!,positive
seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really,negative
" Wow, I`ve officially lost all faith in Britain, looks like our wishes weren`t met, sadly",negative
well dnt really knw wot to do stay wit some 1 who doesnt want 2 b wiv me or move home to rents after 4yr of bein away,negative
wow! party! my new life! it is awesome! no more girlfriends they just create tons of drama! babes at a party is the way to go!  just w ...,positive
 don`t cut yourself!!,negative
" Reminders are good! Speaking of which, we haven`t had a Posture Check in awhile.....",positive
_ What did he say about it?? Gosh! I missed the yesterday live chat.. I was at bed.. sick,negative
" and Amanda Peet in A lot Like Love. Loves it.. Classic, really",positive
OMGSH IM BEING FOLLOWED BY >>PARAMORE<< :O,positive
"I want to see my friends  Mindless fun. No work, all play. All drunk, all walwal. All being mean to each other and sleeping in one bed",positive
"good morning twitter-ers  rise and shine,, just on my way to school",positive
Will cook a sumptuous lunch today,positive
 You forgot moi  #twpp,negative
studying out of spite. whatever.. Wonderful unforgettable weekend with DC,positive
Had a nice chat with an old frnd... its been a while since v talked  was fun...,positive
 never invite,negative
 Nope  Neither of our ladies are on today.,negative
Sooo.....I`m kind of sick n tired of the bs that guys dish out  !!!!!!!!,negative
bahhhh.. cold weather is making my teeth hurt.,negative
i love him..i hate him..i loved him yesterday...ill hate him tomorrow....**** im confused,negative
Just got booked my ticket to athens,positive
is watching 'Sicko' and is utterly digusted with this country...,negative
Ugh..  this sucks.,negative
Loves him but most importantly loves my mom! Happy Mothers Day!,positive
" - no,  is buttfuck stupid. I`m just silly and forgetful",negative
"I am the empitome of epic fail, just you know, more epic than fail.",negative
 sorry to hear that,negative
thinking of you   why we canï¿½t control our thoughts?,negative
 oh my... now im offended.  ha,negative
 did you finish twilight? i did! and i wish it wasnt over,positive
 Yum. Thanks.  Just getting dressed and waiting for my washing to finish so I can hang it up.  I`ll text you when I set off,positive
wellity! i think ima gonna clean my room :| ****. i need to read a good book. sense and sensibility here we come! BEAT THE LILY,positive
i don`t know the guys on radio disney have so much energy. i wouldn`t be able to do it  <3,positive
Im kinda bored anyone else I think ill listen to some hip hop its pretty good you should check it out www.bseresults.net,positive
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",positive
im still devastated about manchester united losing the UCL final,negative
Digiqom welcomed new team members in the company today,positive
_O haha .. i`m from philippines!  i just want to follow you!,positive
2nd period studyhall + remembered my ipod = music time!,positive
_bach Thank you for YOUR positive energy + contributions here!,positive
im grounded tonight  i hate stupid silent mode,negative
 Definitley Miley,positive
Good Morning All!   Hope everyone is doing well on this Monday!   Thanks for all the #followfriday recos!   I am blessed!,positive
animating an ad for work. One of my favorite things to do. So much so that I`m doing it on a saturday night for fun!,positive
 Tell my work to give me two days off in a row! Stat! I`m full time I`m supposed to have priority,negative
He`s a mess. But iLove him,positive
 TINK! (whatever the **** it means!!) from your JKUK girls! Show us some love! ;)  ****,positive
_Girl well something thaz quick please,negative
 hale yeahhh that`s the coolest part about it ;) hahaha. And I can match grieco!,positive
HAPPY MOTHERS DAY MOM!,positive
I have been married 1 year to the most wonderful man,positive
http://twitpic.com/67k9w - - My besties. If only  was there.,positive
Omg ! BGT making me cry  . That wee girl  it`s soo sad.,negative
"Just got finished watching marley and me, and I cried like a **** baby...I`m missing my beast like crazy!",negative
Today was sooo boring in school. I was sleeping all the time,negative
"Will this rain ever go away, my puppy is getting cabin fever and she doesn`t like going out in the rain",negative
128 days till beyonce,positive
Chilling with some tv quite bored at the moment,negative
almost everyone can suck my **** right about now. ive had it up to here with people **** me over !,negative
Happy Mother`s Dayyyy. Love you mummyyyyyyyy,positive
" so glad, I hope yall make it back down near New Orleans",positive
 that breaks my heart,negative
":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",positive
I hate watchn things that make me sad n wana cry,negative
 I`ve got one too  though i think mine was attributed to the seizure inducing color/light show in the movie The Soloist.,negative
Who builds a hotel without air-con? Bloody boiling in here...,negative
 i miss youuu and i wish i was dodging semis with you,positive
Oh no! My kindergarten teacher died  Mrs. Collinson always remembered every student she ever had. Loved that lady.,positive
 !!! It`s fantastic!,positive
28ï¿½ in VanCity? Holy shizz. I will be home soon kids!,positive
well going to sleep peoples!! night all twitterers!! loves ya!  *Welcome Home*,positive
hi  thanks for the follow  good luck with your friend? ha,positive
Taco Bell With The Tramp!Yesssssir,positive
 Have you guys heard about the flu that`s been going around? Swine Flu? Hope you guys are safe  There`ve been deaths already. :-S,negative
/ happy mommy`s day,positive
 I keep trying to talk myself out of Australia by thinking of the jet lag  So far it isn`t working... I still want to go!,positive
"I didn`t get the job at Stuff Magazine  Dammit, that would have been amazing!! Oh well.",negative
 depressed that both of those are already out but yours isnt. I want your book!!,positive
New York from 1500ft looks rather good. Last night in the Big Apple.,positive
 Hell unlucky! :O and and it comes out next week here.,negative
 boo! I must`ve deleted it from my phone!  can`t find it in my emails either!,negative
 good luck with it..Do well!! My best wishes are with you!,positive
"Have lots 2do as usual! laundry, thanking God, cleaning house, praising God, cutting the hedge and thanking and praising God some more!",positive
 Good luck tonight! have fun,positive
 it`s not working here,negative
why must the weather b so nice and then so bad all in 1 minute,negative
OMG... I just learned that the little girl who played Ducky in the very first Land Before Time movie was murdered at the age of 10. WTF?,negative
I wish pitchfork would shutup about #primavera.  Makes me miss spain,negative
i am on BLAZE and my head hurts.,negative
 oh man! They better do something to fix that!! ugh stupid Verizon,negative
_soul i look forward to your new cd  big fan,positive
" no you didn`t,  not more then me anyway",negative
lol exams i didn`t go to mcast or other school i finished form 5 and that`s it soo disappointed in myself,negative
Dead gerbil,negative
Happy STAR WARS Day - May the fourth be with you!,positive
oh how i love texting my drunk friends  hahahaha,positive
 I thought it was a simple one  I found it hilarious.,positive
"2night- dance parties, fun times, & awkward situations  highlight- driving w/ nims and annie listening to satellite windows downnnn",positive
just woke up and feeling real good cause of krispy kreme. I WANT ME SOME DOUGHNUTS,positive
Okay i feel really sick now,negative
Just got back from lunch and feeling more like a nap is in order than work  But I will press on!,negative
lohang: is listening to music. really happy about !librefm #audacious combination  here`s my profile http://is.. http://tinyurl.com/r5o3zj,positive
 i think twitter hates every1 when it comes 2 photos! took me ages the other day 2 change my pic!! especially at this time!,negative
Traffic jam outside of chicago. I feel very 'office space' right now.,negative
 Can`t wait to see it tonite!! should be hilarious,positive
Chillin Waitin For My Hunny Baby To Get Out Of Work!!!!!  To Get My Drink On While Finishin Da Song I Have,positive
" Another day and I couldn`t find you.    I ended up trying another cart, can`t remember their name.  `sigh`",negative
 Thanks. Feel so happy 2 Make Ur Day a Great one. Enjoy it 2 the fullest N Have Fun Always,positive
"Fml! Ughhhhhhhhh, im not going anwhere today just sit in the bedroom I share with my mother and cry!",negative
why is it so hard to find good house events in the Sacramento area?,negative
_babsi there`s a manual process... but it`s taking 4ever on my outlook database... pffff. crappy msft product,negative
@_Flik_ Good one.   Might think about it for this year`s NaNoWriMo competition.,positive
 I get to go to coffee now  It`s no fun. I hate it too!,negative
"Oh yeah, Radio1 is SO playing Earth, Wind and Fire",positive
 lol wat u making me come all da way overr there for?v,negative
14 dayssss ahhhh super excited   `they`re telling me that my heart wont beat again`   JLS were awesome yesterday (:,positive
 you`re so cute.,positive
 thx 4 following  r y a band? What kind of genre that y play? Nice to meet all of y,positive
prom tonight.. too bad im not going to be there,negative
_r I can`t get one either because of the dog. I`m pretty sure the bunny wouldn`t survive a struggle with Tom,negative
Good day all. Let`s see what we can get accomplished today together.,positive
`You Are What U Eat` isn`t EXACTLY true.. `You Are What U Digest` TodayISaProsperous &Productive Day! ThankUJesus!  BeYEBlessed! hee hee,positive
omg! i didnt even know my friend knew  !!! lol its a small world,positive
"aaauuuggghhh! in n out, check! mcdonald`s, check! haha, next is hot cheetos!",positive
I was just asked by a suit where i was heading to. I didn`t think i looked that much like a ****,negative
 unless absolutely gorgeous I`d rather men stayed covered up! Have seen sights today to put you off your food.......  #ukpubs,negative
Obama is the ish!!!!  he is funny!,positive
mmm  eating tostitos && piknik with spinach dip from S&R. <3,positive
"Has so much to blog, but has no time to",negative
I`m sooo lost without my car  This is truly depressing. Pregnant people should NEVER be this stressed out!,negative
 I want some ice cream,positive
"  you are now famous in Houston, take a look  http://is.gd/ysAh",positive
 I hope your mom is ok?,positive
 Yep that one works. I LOVE Potbelly but I can`t get it in AZ  Have to wait for my Chi-town trips ,positive
everyone vote for  for the mtv movie awards coz my comp is mashed up and wont let me vote!  i will somehow!!!!!!,positive
 Yea once - me and my friends flew out to amercia to see her w/ the Jonas brothers  . have u? haha i hate bebo :p . aw cant wait,positive
Just finished filming for the day  another fun day on the set! Hahaha!,positive
 'coomee to ja-maiii-cah an feel alllll right!!' hahaha,positive
 good song,positive
I dont associate with fake asses!,negative
So much for buying that awesome new phone from sony ericsson  - I am now Berry`d like everyone else...,negative
HAD SO MUCH FUN TODAY !  i love alyssa arellano and mika reyes ! :*,positive
what a beautiful morning ; it`s time to get up and enjoy the sun,positive
" We want to trade with someone who has Houston tickets, but no one will.",negative
"SMH!!!! Im sick with this bug that`s going around..Almost everyone I know is sick, including me...",negative
to all mothers out there... or even soon to be mothers >8D happy mother`s day y`all,positive
Reception food at Long Beach graduation = no Champagne  http://twitpic.com/67eba,negative
 you are the sweetest.  love you cuz!,positive
broken my leg  comment me please,negative
has found that old familiar feeling again.,positive
" Thanks dear, I know this, but I appreciate the validation as always",positive
 Me too!    need some tour dates stat!,positive
" I assume you mean 2nd item with 3 nested lines, but no invert call tree button to be found   ï¿½  ï¿½   ï¿½",negative
weee! internet is back here at home!,positive
: yes!,positive
starting to wonder if I`m going to get this job... came across as though i`d find work elsewhere if needs must... not intentionally,negative
 LIKE U SAID 'GIVE TC A CHANCE!' WE WILL MISS THOMAS  BUT HAVE TO MOVE ON. SO WATCH THIS! http://bit.ly/r6RfC,positive
Hmm maybe I this time I really did over react and do the worst,negative
" nooo... as a font connoisseur i can totally relate dude, my heart goes out to you",positive
 my stupid putet won`t let me go to your chat,negative
Leo Carillo Beach and WIll Rogers State Park are on the list of State Parks that might close      http://tinyurl.com/lhq8gs,negative
the tip of my finger hurts  lmao,negative
 Hi Its not about howmany people follow you its about how much you help others,positive
I feel bad for John and Kate. And the 8.,negative
"Goodnight  PS- thanks for jailbreaking my iPod, stacie <3",positive
UGH! I have GOT TO STOP biting my nails  grrrrr,negative
me knows what to be tested on all the exam subjects except for english. **** davis.,negative
" haha hi mum! wow yes, very modern of you. now you just need to get a facebook account! p.s. talk to me by writing ",positive
" yeah, that doesn`t sound very good",negative
 for me they`re not,negative
",  - muji  yipee. is anybody coming here? i can send them over hahaha. but can somebody bring JT`s BSG disks? haha",positive
 hot weather for the lose. And I have to clean too!  Cleaning in the heat sucks balls.,negative
Yay! Just bought American Dad Volume 4  also seen Australia is out on DVD. Could be a lot cheaper than going...,positive
_benson the Macarena never looked so good. Loved the 'Aaaaiieee' squeak / exclamation,positive
"Just for fun: Jessica Alba weekly Twitter follower count: 35,138 (+5,468). This is starting to look like a movement.  ",positive
Saw this lil girl that has big eyes and hair like Dora the explorer. How cute,positive
 *dancing pirouette ballerina HUGS*  Morning my Awesome brudder!,positive
 gray! .... i so feel neglected,negative
Can`t sleep!!! People keep textin me!!!,negative
 No happy hour in CCP eithah that`s 2 bad,negative
I`m wishing I was outside instead of trapped in my office.,negative
  have funnn!,positive
this week has been fun...i hope next week will be even better  NYC in 19 days,positive
Worried about the reply after sending THE SMS to 78277.,negative
Happy Mother`s Day mommy and grandma haha  ily,positive
 I want to know who is that ??.6  I tried to ask P`KIA but he still not reply me  but now he change his status to `away`,negative
Does anyone know how to scale a pic down I`m trying to change my pic but all my pics r 2 big n I keep cropping them...HELP,negative
"we`re one, but we`re not the same, we get to carry each other",positive
 thankyou  how is ur night?,positive
a bird flew into window at my parents house and snapped his poor neck. gotta bury him,negative
 thanks to follow,positive
"Not feeling it 2day, just left the glasses on  peace and unity.",negative
i`m playing left 4 dead with my friends gilbert and louie  its so fun  happy mothers day to all your moms! ),positive
_benson You are an absolute legend! Love love love it,positive
I just lost a fight against  on Tweefight. I lost  Please revenge me! Try now http://tweefight.com/?opp=hangy,negative
Castiel is loveeeeeeeeeeeeeeeeeeeeee,positive
(bullhorn] tell ur friends 2 follow me  come onnnnnnnnnnnn ppl,positive
Going to see my grandad today  <3,positive
 i knowwww.. i cant deal. this 9-5 life is not for me,negative
feel crappy today,negative
"_pina_14  Not good!!He wouldnt like his girl flirting with his colleagues,would he?",negative
"just woke up, having coffee, listening to Music, reading RSS...Sunday feels great",positive
 Yeah I hate that too!!!! Sorry ur goin thru that,negative
Doggone it! I only got an hour nap in  I really want some Ponderosa chicken wings!,negative
_MC string out the dress.. Work that into a track please!!! What do u have coming up?? I`m ur biggest fan,positive
"  thankyou very much, you rock!",positive
 I couldnt come to see you in Southend on the 2nd as I couldnt get the tickets :[ Ill have to come see you when you solo tour,negative
working on the climb season 2 episode 5!!,positive
fo shizzle. . . i`m bored and wanna go do something.  wish i went to pisay today. oh wellz. wonder who were there.,negative
binstruct suffers from an update of the mib package... and the developer of that package is on holidays,negative
"I also think that I`m talking to myself now. Okay I need to get to bed. BTW, I miss my brothers.",negative
 The link doesn`t work,negative
"good day, ya`ll! happy mom`s day!",positive
im officially done with school til fall.,positive
 aww such a cutie,positive
"Thanks for the follow, Doug. I like that hat",positive
Happy Mother`s Day ~ and for single dads who plays both mom and dad role enjoy your day too,positive
 I had a very good day - lots of stretching and sleeping in the sun,positive
 I don`t want to  !!!! I am going to cry all the way home!!!,negative
is going out for dinner... just the two of us... niceeeee,positive
 so how is the most wonderful mommy in the world doing?,positive
"so, why the hell are we going to school for 2 hours next monday and tuesday...dumb snow days and thier lame rules...my mom making me go",negative
Oww. Can`t even describe how much my back hurts. Going to have to go to the stupid doctor.,negative
Wow... my god the whole UI is sooo much snappier. It`s more responsive than TweetDeck now!  Tweets feel like IMs lol,positive
Eh they shut the freeway down! omw to a job interview so i guess i`m gonna be late,negative
 that couldn`t be more true! I like ur momma`s style!,positive
morning darlin`  Hope you`re feelin` tip-top  ? http://blip.fm/~5z7zs,positive
"  Guys, nothing is free in life. Where is my shidduch money?",negative
" http://twitpic.com/4jam0 - Ohhh, how lovely! I`m glad that you had a great time there.",positive
I don`t think the coffee at work agreed with my tummy,negative
Thanks! carry on the craziness again!!!,positive
 good luck with your auction,positive
Watching the CAVS!!!!!,positive
Some guy just said he wanted to spank me,negative
" me too  no one even liked my answers to life last night, pshh",negative
 we`ll see Craig might just hog u guys! haha I work till 10 tonight anyways,positive
 You are `spot on`...I wouldn`t tweet without it!! Thanks for your share tonight.,positive
i wish i was in Jonathon Ross` audience right now,positive
" Yeah, a few peeps. It should be a good day to catchup with everyone",positive
 ohwwww  whatever I`m excited anyway.,positive
_dang my phone is still broken.  just come over whenever.,negative
I love cute texy messages. Especially when he calls me mandy,positive
"_Cordon Morning  done a bit more. I do have 2 weeks to go, but am trying to get most of it done in advance. How`s you?",positive
 haha! I remember that! That trip was fun. I Miss miss miss miss miss chu,positive
sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,negative
I ate a foot long from subway like an hour ago! OMG! I`m happy and full. I hadn`t ate since b-fast.  happy Lis.,positive
" Sorry your day was so bad   Gettin the drink on, good plan!",positive
 Thanks too,positive
 I love these clutches! I`m lusting after one in bright yellow,positive
